
21:34:38.47 | INFO | Найдено сессий: 5!
21:34:38.47 | INFO | Проверяю сессии на валидность!
21:34:42.40 | SUCCESS | Валидных сессий: 5; Невалидных: 0
21:34:48.99 | INFO | main | Thread 3 | TeenaFloops | Start! | PROXY : None
21:34:49.85 | INFO | main | Thread 0 | ddcube | Start! | PROXY : None
21:34:53.20 | INFO | main | Thread 4 | telemarkle | Start! | PROXY : None
21:34:59.08 | INFO | main | Thread 2 | marcuspyc | Start! | PROXY : None
21:35:00.32 | INFO | main | Thread 1 | floortrees | Start! | PROXY : None
21:35:01.96 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:04.83 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:08.20 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:13.13 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:22.95 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:23.90 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:26.77 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:28.38 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:35.34 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:41.97 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:46.53 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:48.10 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:51.79 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:35:52.36 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:00.32 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:11.83 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:12.72 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:13.02 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:13.91 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:23.91 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:30.99 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:31.79 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:32.61 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:32.83 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:39.04 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:53.67 | ERROR | main | Thread 2 | marcuspyc | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:54.17 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:55.33 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:36:57.92 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:03.01 | ERROR | main | Thread 1 | floortrees | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:10.93 | ERROR | main | Thread 4 | telemarkle | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:14.98 | ERROR | main | Thread 3 | TeenaFloops | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
21:37:15.47 | ERROR | main | Thread 0 | ddcube | 0, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url=URL('https://game-domain.blum.codes/api/v1/tasks')
